table_name
ai_usage_logs
analytics_snapshots
catalog_brand_subcategories
catalog_brands
catalog_combinations
catalog_combinations_view
catalog_main_categories
catalog_product_types
chat_attachments
chat_messages
product_ai_metadata
product_images
product_receipts
product_supplier_pricing
products
profiles
reservation_chats
reservations
supplier_margin_rules
